species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1620
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1969
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1565
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1338
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1292
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1458
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1510
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1336
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1649
Chinstrap,Dream,46.5,17.9,192.0,3.5,Female,1348
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1285
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,1988
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,1399
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1377
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1773
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1666
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1619
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1491
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1606
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,1432
Adelie,Torgersen,37.7,19.8,198.0,3.5,Male,1835
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1322
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,1366
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1879
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1258
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1321
Gentoo,Biscoe,43.5,14.2,220.0,4.7,Female,1911
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1271
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1525
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1264
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1062
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1122
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1371
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1647
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1674
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1804
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1813
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1116
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1957
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1912
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1398
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1344
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1663
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1751
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1548
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1056
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1909
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1054
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,1779
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1982
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1080
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,1158
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1415
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1462
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1252
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1849
Adelie,Torgersen,38.8,17.6,191.0,3.275,Female,1507
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1410
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1947
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1154
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1406
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1056
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1951
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1372
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1374
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1722
Adelie,Torgersen,34.6,17.2,189.0,3.2,Female,1466
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1209
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1656
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1274
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1790
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1060
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1911
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1818
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1121
Gentoo,Biscoe,50.4,15.3,224.0,5.55,Male,1102
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1801
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1564
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1630
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1656
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1357
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1699
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1190
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1752
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1462
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1374
Adelie,Biscoe,35.9,19.2,189.0,3.8,Female,1186
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1893
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1773
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1034
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,1387
Gentoo,Biscoe,42.8,14.2,209.0,4.7,Female,1099
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1659
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1069
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1484
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1080
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1401
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1241
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1695
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1887
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1110
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,1257
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1523
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1008
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1860
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1274
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1112
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1238
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,1389
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,1242
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,1927
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1069
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,1571
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,1778
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1251
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1673
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1568
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1345
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,1368
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,1622
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,1412
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1936
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,1726
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,1812
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,1387
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1951
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1697
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1562
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1912
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1190
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,1608
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,1100
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1409
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1371
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,1207
Chinstrap,Dream,48.5,17.5,191.0,3.4,Male,1104
Adelie,Biscoe,41.1,19.1,188.0,4.1,Male,1168
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1743
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1759
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1252
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,1774
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,1571
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1752
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1535
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1313
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1422
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1534
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1224
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,1128
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1285
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,1348
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1501
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1590
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1247
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1708
Adelie,Biscoe,45.6,20.3,191.0,4.6,Male,1758
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1517
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,1325
Chinstrap,Dream,50.9,19.1,196.0,3.55,Male,1564
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1446
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1531
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1447
Gentoo,Biscoe,48.4,14.6,213.0,5.85,Male,1155
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1363
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,1519
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,1263
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1534
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1946
Adelie,Torgersen,,,,,,1075
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1270
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1047
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1238
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1507
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,1107
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1322
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,1836
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1660
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1351
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1255
Adelie,Torgersen,35.5,17.5,190.0,3.7,Female,1112
Adelie,Dream,41.1,17.5,190.0,3.9,Male,1867
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1037
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1906
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,1778
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1445
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1909
Adelie,Biscoe,39.0,17.5,186.0,3.55,Female,1541
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1645
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1638
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1307
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1446
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1730
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,1090
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1606
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,1393
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,1641
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1740
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1065
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1391
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1209
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1531
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,1859
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,1153
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1694
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1835
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,1104
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1251
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1081
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1952
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1921
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1881
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1222
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,1350
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1761
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1751
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,1035
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1730
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,1812
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,1421
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1535
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1735
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1958
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1484
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1910
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1870
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,1622
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,1794
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1413
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1122
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1451
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,1559
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,1099
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,1091
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1147
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,1207
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1073
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1564
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1204
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1392
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1196
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1835
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,1961
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,1963
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,1242
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1121
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,1423
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,1641
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1110
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,1701
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1847
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,1294
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1605
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,1608
Adelie,Dream,36.8,18.5,193.0,3.5,Female,1694
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1847
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,1746
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,1346
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1757
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,1096
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1071
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1697
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,1806
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,1515
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1372
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1947
Adelie,Torgersen,34.4,18.4,184.0,3.325,Female,1663
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,1701
Adelie,Dream,37.5,18.9,179.0,2975.0,,1522
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1826
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1743
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1979
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,1439
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,1696
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1989
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,1118
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1305
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1598
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,1499
Adelie,Dream,42.2,18.5,180.0,3.55,Female,1338
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,1155
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1193
Adelie,Biscoe,34.5,18.1,187.0,2.9,Female,1041
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,1324
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,1244
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1384
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,1027
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1501
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,1360
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1275
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1609
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1012
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,1325
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1978
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1458
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,1512
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1887
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,1664
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1598
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1659
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,1807
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,1291
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1081
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1621
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1186
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1679
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1054
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1690
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1981
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,1796
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,1433
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1410
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1270
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,1767
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1576
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1316
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1313
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1398
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,1393
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1713
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1621
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1881
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1761
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1719
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1004
Gentoo,Biscoe,49.4,15.8,216.0,4.925,Male,1147
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1808
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1998
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,1099
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1722
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1680
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1708
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,1664
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1275
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1378
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,1214
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1870
Adelie,Torgersen,46.0,21.5,194.0,4.2,Male,1697
Adelie,Torgersen,41.5,18.3,195.0,4.3,Male,1935
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,1569
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1668
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,1796
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,1090
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,1079
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1876
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1913
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,1366
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,1346
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1151
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1447
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,1089
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1913
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1508
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1979
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,1882
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,1844
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1357
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1186
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,1466
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1935
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1058
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1757
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1790
Adelie,Dream,36.4,17.0,195.0,3.325,Female,1012
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,1961
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1116
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,1158
